tweet_id|user_id|created_at|hashtags|like_count|quote_count|reply_count|retweet_count|tweet_text
1622605428252348417|1136625485356474368|2023-02-0614:37:35.000000+0000|['Ethereum','ETH','Webumarketing']|0|0|1|0|3/10:💪#EthereumisallsetforitshighlyanticipatedShanghaiupgradewiththelaunchofitsfirsttestnet.\n\nThisupgradewillallowvalidatorstowithdrawtheirstaked#ETH.\n\nExcitement&amp;anxiousnessfollowamongETHholders.#Webumarketing
1622605514302705668|1429354238853795843|2023-02-0614:37:55.000000+0000|['Bitcoin','Airdrop','Hashtagger']|0|0|0|0|#Bitcoin#Airdrop#Hashtagger$BTChttps://t.co/XrU12t0lRw\nThanksforgivingussuchagreatopportunity.Iamsupportingit!
1622605340582850560|1574334663400751106|2023-02-0614:37:14.000000+0000|['hacking','twitterdown','facebookdown','meta','icloud','support','NFTs','Crypto','BUSD','USDT','SEGA']|0|0|0|0|WorkingonEveryone'sCasesisyourskilledhacker.\nSendinyourhackingproblemsforprompt,satisfactoryresolutions.\n24/7accesstome\n#hacking#twitterdown#facebookdown#meta#icloud#support#NFTs#Crypto#BUSD\xa0\xa0   #USDT\xa0\xa0   #SEGA
1622605629096329217|1618523620656955392|2023-02-0614:38:23.000000+0000|['KNDM']|0|0|0|0|@AgroCrypto361@CryptoKoalaBtc@KingdomERCLFGGGG$KNDM.#KNDM
1622605163407237127|1594551708788887552|2023-02-0614:36:32.000000+0000|['Whale','btc','unknown','Binance','whalealert','openai','hodl','bulltrap','safu','仮想通貨','fomo','바이빗']|0|0|0|0|🐋🐳#WhaleAlert🐋🐳\n[Ticker]#btc\n[TransactionType]transfer\n[From]#unknown\n[To]#Binance(exchange)\n[Amount]275.402\n[ValueinUSD]6,249,325.5\n\n#whalealert\n\n#openai\n#hodl\n#bulltrap\n#safu\n#仮想通貨\n#fomo\n#바이빗\n\nWill$DOGEhit$1?https://t.co/U5vjEYXQOT
1622605142607679488|1374627799588171780|2023-02-0614:36:27.000000+0000|['Bitcoin','Airdrop','Hashtagger']|0|0|0|0|Readyforeverything,it'samust!.#Bitcoin#Airdrop#Hashtagger$BTChttps://t.co/0ErnDWzP2D
1622605157690228738|1477603631968968704|2023-02-0614:36:30.000000+0000|['SquidGrow','YearOfTheSquid','PiNetwork','NFTs','BSC','BNB','Binance','BITCOIN','ETH','SGX','1000x','VOLTINU','SHIB','shibainu','Floki','BABYDOGE']|0|0|0|0|@100xAltcoinGems#SquidGrow🦑🦑🦑🦑❤️🔥🔥🔥🚀#YearOfTheSquid@Shibtoshi_SGCEO@Squid_Grow🔥🚀@AreDub2#PiNetwork#NFTs#BSC#BNB#Binance#BITCOIN#ETHBridge#SGX#1000x#VOLTINU#SHIB#shibainu#Floki#BABYDOGE@elonmuskhttps://t.co/k80hMZFiLX
1622605659098451970|1621986704503754752|2023-02-0614:38:30.000000+0000|['ETH','NFTs','NFT','CHOOCHUNES','VOLT','KABOSU','OKAGE','1000x','ChookyInu','Ethereum']|0|0|0|0|@bscwhalegems@ChookyinuMemecoinUtilityTokenwith#ETHrewards,#NFTsStaking,Music#NFTPlatform#CHOOCHUNES.Animationseriescollaborationwithbigprojectsalreadyonboard#VOLT@Squid_Grow@Shibtoshi_SG#KABOSU#OKAGE.HUGEPotentialfor$CHOOtopopoff#1000x#ChookyInu#Ethereumhttps://t.co/ZRnDgu8JlZ
1622605229651906560|486780546|2023-02-0614:36:47.000000+0000|['XRP']|0|0|0|0|@Will_Tanner_1I'llcrossthatbridgewhenwegetthere.Notsurewe'llevenhaveanormal2024electionatthispoint.\n\n11.3\n\n#XRP
1622605324174630912|1608457658197065728|2023-02-0614:37:10.000000+0000|['PancakeSwap','FLOKIM','FLOKIMOONI','DOGE','SHIB']|0|0|0|0|@CryptoThro@FlokiMooniisabouttotakeoff🔥\n\n✅Dapp&amp;NFTP2E\n❇️LPlockedwithproof\n❇️DOGErewardsforholders\n\n🚫NoPresale/Private/Whitelist\n🚫NoTeamwallets\n🔥50%Burn\n💧50%to#PancakeSwap\n\n#FLOKIM#FLOKIMOONI#DOGE#SHIB
1622605419335274498|1565561909587222528|2023-02-0614:37:33.000000+0000|['Digicom','Digicom','DCOM','blockchain','cryptocurrency','technology','bitcoin','money','crypto','Binance','BNB','cryptocurrencies','fintech']|1|0|0|0|Thisisaveryinteresting,couldyoupleasepleasebemorespecificassohowsomeonecoulduseanewcaexample.#Digicom#Digicom#DCOM#blockchain#cryptocurrency#technology#bitcoin   #money#crypto#Binance   #BNB   #cryptocurrencies#fintech
1622605163293999105|1468623928155586565|2023-02-0614:36:32.000000+0000|['RudeBoysGang','NaughtyNotNice','XRP','NFT','XRPCommunity','XRPL','Feb14th']|0|0|0|0|@CollectionRude@xrpcafe8moredaystillmint😎🖕🏻👀🔥🤘🏻Savethedateyoulittlerascals‼️‼️‼️#RudeBoysGang#NaughtyNotNice#XRP#NFT#XRPCommunity#XRPL#Feb14thhttps://t.co/xwDhEZLBXt
